EnchantmentName,RelicClassName,DropWeight,AllowAttacks,AllowSkills,AllowPowers,AllowTargetAny,AllowTargetSelf,BaseAmount,AllowRarityStarter,AllowRarityCommon,AllowRarityUncommon,AllowRarityRare,AllowExhaust,AllowNonExhaust
Adroit,AdroitGachaBallRelic,20,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Clone,CloneGachaBallRelic,4,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Corrupted,CorruptedGachaBallRelic,10,TRUE,FALSE,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Favored,FavoredGachaBallRelic,1,TRUE,FALSE,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Glam,GlamGachaBallRelic,15,TRUE,TRUE,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Goopy,GoopyGachaBallRelic,20,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Imbued,ImbuedGachaBallRelic,10,TRUE,TRUE,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Instinct,InstinctGachaBallRelic,5,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Momentum,MomentumGachaBallRelic,10,TRUE,FALSE,FALSE,TRUE,TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Nimble,NimbleGachaBallRelic,30,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PerfectFit,PerfectFitGachaBallRelic,3,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RoyallyApproved,RoyallyApprovedGachaBallRelic,10,TRUE,TRUE,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sharp,SharpGachaBallRelic,30,TRUE,FALSE,FALSE,TRUE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Slither,SlitherGachaBallRelic,3,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SlumberingEssence,SlumberingEssenceGachaBallRelic,10,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SoulsPower,SoulsPowerGachaBallRelic,3,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Sown,SownGachaBallRelic,20,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Spiral,SpiralGachaBallRelic,3,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Steady,SteadyGachaBallRelic,20,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Swift,SwiftGachaBallRelic,30,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TezcatarasEmber,TezcatarasEmberGachaBallRelic,10,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Vigorous,VigorousGachaBallRelic,20,TRUE,FALSE,FALSE,TRUE,TRUE,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
