Name,EnergyCost,StarCost,BaseText,UpgradedText
Abrasive,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {DexterityPower:diff()} [gold]Dexterity[/gold].
Gain {ThornsPower:diff()} [gold]Thorns[/gold].","Gain {DexterityPower:diff()} [gold]Dexterity[/gold].
Gain {ThornsPower:diff()} [gold]Thorns[/gold]."
Accelerant,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Poison[/gold] is triggered {Accelerant:diff()} additional {Accelerant:plural:time|times}.,[gold]Poison[/gold] is triggered {Accelerant:diff()} additional {Accelerant:plural:time|times}.
Accuracy,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Shivs[/gold] deal {AccuracyPower:diff()} additional damage.,[gold]Shivs[/gold] deal {AccuracyPower:diff()} additional damage.
Acrobatics,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Draw {Cards:diff()} cards.
Discard 1 card.","Draw {Cards:diff()} cards.
Discard 1 card."
Adaptive Strike,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Add a 0{energyPrefix:energyIcons(1)} copy of this card into your [gold]Discard Pile[/gold].","Deal {Damage:diff()} damage.
Add a 0{energyPrefix:energyIcons(1)} copy of this card into your [gold]Discard Pile[/gold]."
Adrenaline,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Energy:energyIcons()}.
Draw 2 cards.","Gain {Energy:energyIcons()}.
Draw 2 cards."
Afterimage,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you play a card, gain {AfterimagePower:diff()} [gold]Block[/gold].","Whenever you play a card, gain {AfterimagePower:diff()} [gold]Block[/gold]."
Afterlife,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Summon[/gold] {Summon:diff()}.,[gold]Summon[/gold] {Summon:diff()}.
Aggression,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the start of your turn, put a random Attack from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold] and [gold]Upgrade[/gold] it.","At the start of your turn, put a random Attack from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold] and [gold]Upgrade[/gold] it."
Alchemize,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Procure a random potion.,Procure a random potion.
Alignment,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,2,Gain {Energy:energyIcons()}.,Gain {Energy:energyIcons()}.
All for One,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Put ALL 0{energyPrefix:energyIcons(1)} cards from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold].","Deal {Damage:diff()} damage.
Put ALL 0{energyPrefix:energyIcons(1)} cards from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold]."
Anger,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Add a copy of this card into your [gold]Discard Pile[/gold].","Deal {Damage:diff()} damage.
Add a copy of this card into your [gold]Discard Pile[/gold]."
Anointed,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Put every [gold]Rare[/gold] card from your [gold]Draw Pile[/gold] into your [gold]Hand[/gold].,Put every [gold]Rare[/gold] card from your [gold]Draw Pile[/gold] into your [gold]Hand[/gold].
Anticipate,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {DexterityPower:diff()} [gold]Dexterity[/gold] this turn.,Gain {DexterityPower:diff()} [gold]Dexterity[/gold] this turn.
Apotheosis,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Upgrade[/gold] ALL your cards.,[gold]Upgrade[/gold] ALL your cards.
Apparition,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {IntangiblePower:diff()} [gold]Intangible[/gold].,Gain {IntangiblePower:diff()} [gold]Intangible[/gold].
Armaments,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
[gold]Upgrade[/gold] {IfUpgraded:show:ALL cards|a card} in your [gold]Hand[/gold].","Gain {Block:diff()} [gold]Block[/gold].
[gold]Upgrade[/gold] {IfUpgraded:show:ALL cards|a card} in your [gold]Hand[/gold]."
Arsenal,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you play a Colorless card, gain {ArsenalPower:diff()} [gold]Strength[/gold].","Whenever you play a Colorless card, gain {ArsenalPower:diff()} [gold]Strength[/gold]."
Ascender's Bane,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,,
Ashen Strike,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for each card in your [gold]Exhaust Pile[/gold].","Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for each card in your [gold]Exhaust Pile[/gold]."
Assassinate,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold]."
Astral Pulse,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,3,Deal {Damage:diff()} damage to ALL enemies.,Deal {Damage:diff()} damage to ALL enemies.
Automation,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Every 10 cards you draw, gain {Energy:energyIcons()}.","Every 10 cards you draw, gain {Energy:energyIcons()}."
